SN,Trimester 1/4/7/10 & PhD 4/7,Div.,Discp,Course code with sections,Course Title,OAA Remarks,"Year 1
 2025-29
 T1/2/3","Year 2
 2024-28
 T4/5/6","Year 3
 2023-27
 T7/8/9","Year 4
 2022-26
 T10/11/12",Phd 4,Phd 7,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT311/HIST311/SOCL311,Political Imaginings from the Global South,,No,Yes,Yes,Yes,,,Required,4,Geeti Das,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT431 & POLT631,Infrastructure Technologies and Planetary Politics,,No,No,Yes,Yes,,,Elective,4,Geeti Das,,Yes,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,New Course,New Course,,No,Yes,Yes,Yes,,,Elective,4,S Gundimeda,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT 325 POLT 425,Politics and Theories of Urbanisation,,No,Yes,Yes,Yes,,,Elective,4,Dyotana Banerjee,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT 336,Research Methods in Politics I,,No,Yes,Yes,Yes,,,Required for Politics,4,Dyotana Banerjee & Sudeshna Dey,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT 205,Global Politics I,,No,Yes,Yes,Yes,,,Required for Politics,4,Swarna Rajagopalan,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT 412,South Asian Politics and International Relations,,No,Yes,Yes,Yes,,,Elective,4,Swarna Rajagopalan,,Yes,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT313 SOCL313 PHIL313,Intorduction to Political Theory,,No,Yes,Yes,Yes,,,Required for Politics,4,Bishnu Mohapatra,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,POLT413,Texts on Interrogating Social Imaginaries,,No,No,No,Yes,,,Elective,4,Bishnu Mohapatra,,No,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,SOCL,SOCL406|HIST406|POLT406,Religion and Society in South Asia,Ok,NO,YES,YES,YES,YES,YES,Required/Elective/Elective,4,Annu Jalais,,None,"This course is about the study of Religion with a particular focus on South Asian religions (Hinduism, Jainism, Buddhism, Zorastrianism, Christianity, Islam, and Sikhism), as they have been studied anthropologically, historically and politically – as daily beliefs and practices, and in relation to wider South Asian culture, history and politics. This course will provide both a grounded study of religious practices and religions in Afghanistan, Bangladesh, Bhutan, India, the Maldives, Nepal, Pakistan, Sikkim, Sri Lanka as well as a postcolonial critique of the study of religions and nationalism in the South Asian realm.
 The course will explore why the transformation of the public sphere in South Asia shows the increasing importance of religious movements, and of the political use of religious symbolism in new communication technologies. One of the most important trends in the present era is the attempt to create a homogenous religious community, not only within the national territorial space, but also in a transnational space. If such attempts offer a sense of identity for communities, it also offers a brutal confrontation with “the Other,” however defined. The violent conflicts between Hindus and Muslims, between “high” castes and Dalits, between Shi’as and Sunnis, between Buddhists and Hindus, Buddhists and Muslims are sad reminders of a growing confrontation which is not only regional, but increasingly global.",,
,Trimester 3/6/9/12 & PhD 6/9,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,Environmental Ethics,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,Environmental History,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,Ecological Economics,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,Ecotoxicology,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,EIA Lab,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,Alternative Energy on a Finite planet,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,Resources management,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,MATH,MATH305,Complex Analysis,,,,,,,,,,Chudamani Pranesachar Anil Kumar,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,MATH,MATH333,Algebra III,,,,,,,,,,	Rishi Vyas,,,,,
,Trimester 3/6/9/12 & PhD 6/9,SCI,MATH,MATH414,Statistics,,,,,,,,,,Vivek Tewary,,,,,
